ID,Poklic
354234,Sodnik
357798,Pisatelj
357798,Šahist
357798,Filozof
357798,Univerzitetni profesor
357798,Elektroinženir
357798,Inženir
358249,Kolesar
358831,Kolesar
359370,Košarkar
360127,Filozof
360127,Sociolog
360127,Urednik
360127,Politik
360549,Trener alpskega smučanja
360549,Alpski smučar
361024,Nogometaš
361058,Nogometaš
363287,Skeletonec
363591,Biatlonec
363612,Rokometaš
365246,Teolog
365246,Duhovnik
366766,Košarkarski trener
366766,Košarkar
367383,Jezikoslovec
367383,Esejist
367383,Prevajalec
367383,Partizan
367383,Politični komisar
367383,Politik
367383,Pesnik
367383,Pisatelj
368106,Kolesar
368139,Kritik
368139,Literarni kritik
368139,Pesnik
368139,Pisatelj
369532,Košarkar
370431,Košarkar
371530,Hokejist
372253,Nogometaš
373213,Pesnik
373213,Pisatelj
373570,Pisatelj
373570,Šahist
373612,Tenisač
375189,Košarkar
375787,Hokejist
375811,Nogometaš
375811,Nogometni trener
378747,Politik
378747,Pesnik
378747,Pisatelj
379172,Alpski smučar
379328,Muzikolog
379328,Pianist
379328,Dirigent
379328,Skladatelj
380035,Košarkarski trener
380035,Košarkar
382065,Kolesar
382197,Filmski igralec
382197,Televizijski igralec
382197,Gledališki igralec
382197,Igralec
384991,Esejist
384991,Dramaturg
384991,Dramatik
384991,Pesnik
384991,Pisatelj
384991,Scenarist
386941,Rokometaš
387671,Novinar
387671,Urednik
387671,Dramatik
387671,Pesnik
387671,Pisatelj
388647,Smučarski skakalec
392245,Alpski smučar
392255,Smučarski skakalec
393407,Esejist
393407,Aforist
393407,Režiser
393407,Gledališki režiser
393407,Filmski režiser
393407,Novinar
393407,Pisatelj
393407,Scenarist
393695,Nogometaš
393695,Nogometni trener
393996,Hokejist
394003,Hokejist
394008,Hokejist
403662,Alpinist
406925,Tenisač
422608,Partizan
422608,Politični komisar
422608,Politik
431716,Alpski smučar
431743,Esperantist
431743,Politik
431769,Biatlonec
431769,Smučarski tekač
431797,Alpski smučar
431929,Univerzitetni profesor
431929,Pravnik
431929,Odvetnik
431929,Sodnik
432473,Model
432473,Oblikovalec nakita
432473,Poslovnež
434177,Ekonomist
434177,Politik
434426,Univerzitetni profesor
434426,Urednik
434426,Politik
434431,Novinar
434431,Umetnostni zgodovinar
434431,Urednik
434431,Politik
434599,Alpski smučar
434609,Alpski smučar
436085,Hokejist
436085,Hokejski trener
436736,Smučarski skakalec
437556,Atlet
437935,Univerzitetni profesor
437935,Ekonomist
437935,Minister
437935,Politik
438758,Smučarski skakalec
438778,Smučarski skakalec
438790,Glasbeni učitelj
438790,Redovnik
438790,Skladatelj
438813,Smučarski skakalec
439708,Atlet
439708,Šprinter
439708,Politik
439813,Skladatelj
439908,Nogometaš
441316,Nogometaš
441575,Smučarski skakalec
443716,Košarkar
443730,Košarkar
444483,Smučarski skakalec
446455,Scenograf
446455,Performer
446455,Avtor
446455,Igralec
446455,Filmski igralec
446455,Gledališki režiser
448891,Rokometaš
449459,Alpinist
449459,Vojak
449459,Plezalec
449459,Planinski vodnik
449459,Fotograf
450649,Univerzitetni profesor
450649,Teolog
450649,Duhovnik
451561,Biatlonec
451561,Smučarski tekač
451570,Politolog
451570,Politik
451593,Pevec
451604,Alpski smučar
451632,Alpski smučar
451662,Smučarski skakalec
451674,Biatlonec
451870,Šahist
451875,Jazz glasbenik
451875,Pevec
451882,Smučarski skakalec
451899,Taekwondoist
451933,Smučarski skakalec
451945,Udeleženec lepotnih tekmovanj
451945,Filmski igralec
451945,Model
451945,Igralec
451954,Alpski smučar
451982,Alpski smučar
451988,Atlet
451997,Pevec
452853,Alpski smučar
453273,Pevec
453497,Smučarski skakalec
453622,Trener smučarskih skokov
453622,Smučarski skakalec
455335,Nogometaš
456136,Smučarski skakalec
456643,Glasbenik
456643,Zgodovinar
458584,Košarkarski trener
458584,Košarkar
460814,Smučarski skakalec
461559,Kolesar
462744,Novinar
462744,Politik
464922,Ekonomist
464922,Politik
464939,Hokejist
468005,Operni pevec
468005,Glasbenik
468005,Pevec
